assay_name,cell_line
5500994173212120213068_A01,UACC-812
5500994157493061613625_A01,CAL-120
5500994158987071513209_A01,201T
5500994172383112813929_A01,EVSA-T
5500994158987071513202_A01,KYSE-520
5500994158987071513207_A01,MS751
5500994172383112813928_A01,MEL-JUSO
5500994172383112813930_A01,NCI-H1869
5500994172948120113978_A01,CMK
5500994173212120213068_A02,SNU-61
5500994157493061613625_A02,DMS-114
5500994158987071513209_A02,A204
5500994172383112813929_A02,EBC-1
5500994158987071513202_A02,KURAMOCHI
5500994158987071513207_A02,MZ7-mel
5500994172383112813928_A02,SF539
5500994158987071513201_A02,REH
5500994172383112813930_A02,NCI-H2347
5500994172948120113978_A02,NB-TU-1-10
5500994173212120213068_A03,SIG-M5
5500994157493061613625_A03,CAL-51
5500994172383112813929_A03,ASH-3
5500994158987071513207_A03,MDST8
5500994172383112813928_A03,SUP-T1
5500994158987071513201_A03,RH-41
5500994172383112813930_A03,NCI-H2170
5500994172948120113978_A03,NCI-H2141
5500994173212120213068_A04,ALL-SIL
5500994157493061613625_A04,H2869
5500994158987071513209_A04,BCPAP
5500994172383112813929_A04,CaR-1
5500994158987071513202_A04,KINGS-1
5500994158987071513207_A04,U-118-MG
5500994172383112813928_A04,KP-4
5500994158987071513201_A04,RPMI-8866
5500994172383112813930_A04,NCI-H510A
5500994172948120113978_A04,NCI-H250
5500994173212120213068_A05,KMS-12-BM
5500994157493061613625_A05,H290
5500994158987071513209_A05,BT-20
5500994172383112813929_A05,CP66-MEL
5500994158987071513202_A05,LCLC-97TM1
5500994158987071513207_A05,WM1552C
5500994172383112813928_A05,KM-H2
5500994158987071513201_A05,PANC-08-13
5500994172383112813930_A05,NCI-H810
5500994172948120113978_A05,CCF-STTG1
5500994173212120213068_A06,FTC-133
5500994157493061613625_A06,A2058
5500994158987071513209_A06,Ca9-22
5500994172383112813929_A06,D-392MG
5500994158987071513202_A06,LU-99A
5500994158987071513207_A06,YH-13
5500994172383112813928_A06,SK-LMS-1
5500994158987071513201_A06,PCI-6A
5500994172383112813930_A06,NCI-SNU-1
5500994172948120113978_A06,COR-L321
5500994173212120213068_A07,RCC10RGB
5500994157493061613625_A07,CESS
5500994158987071513209_A07,CHP-212
5500994172383112813929_A07,EW-16
5500994158987071513202_A07,LU-134-A
